Total mappings: 1275

   1 | IPCM  |  1039499 |   1.710km | ns=1.000 | IP Cinemas: IP Vijaya Mall, Varanasi                 <-> IP Cinemas IP Vijaya Mall, Bhelupur, Varanasi MANUAL
   2 | PBOX  |    51932 |   1.877km | ns=1.000 | FUN Cinemas Playbox Cinema: Dimapur                  <-> Fun Cinemas Playbox, Near Hotel Falcon, Dimapur MANUAL
   3 | MPDX  |  1016291 |   1.937km | ns=1.000 | MPT DDX Drive in Cinema: Bhopal                      <-> MPT DDX Drive-In Cinema (Open Cars Cinema), Shyamla Hil MANUAL
   4 | KAWS  |    48675 |   1.698km | ns=1.000 | Kalpana Cine World: Sonari                           <-> Kalpana Cine World, Kalpana Motors, Sonari MANUAL
   5 | GDMT  |      876 |   0.111km | ns=1.000 | Gold Cinema: Mathura                                 <-> Gold Cinema, Shopping Complex, Mathura MANUAL
   6 | CPEB  |      128 |   0.424km | ns=1.000 | Cinepolis: Binnypet Mall                             <-> Cinepolis ETA Namma Mall, Binny Pete, Bengaluru MANUAL
   7 | TCPK  |     9530 |   1.517km | ns=1.000 | Thrilok Cinemas: Pandalam                            <-> Thrilok Cinemas, MC Road, Pandalam MANUAL
   8 | CSQS  |    58318 |   1.544km | ns=1.000 | Cine Square Cinemas: Shirpur                         <-> Cine Square Cinemas, Near Sahiba Hotel Mandal, Shirpur MANUAL
   9 | PLTT  |     1992 |   0.072km | ns=1.000 | Palace Theatre: Tiruchirappalli                      <-> Palace Theatre, Madurai Road, Kulittalai MANUAL
  10 | INVC  |  1029274 |   0.000km | ns=1.000 | INOX: Vizag Chitralaya Mall                          <-> INOX Chitralayaa Mall, Chitralayaa, Vizag
  11 | PSTM  |  1022293 |   0.000km | ns=1.000 | PVR: Satyamev Emporio Odhav, Ahmedabad               <-> PVR Satyamev Emporio Odhav, Satyamev Emporio Mall, Ahme
  12 | DTDT  |  1053961 |   0.000km | ns=1.000 | Drama Factory Cinema, Zodiac Mall: Indore            <-> Drama Factory Cinema, Zodiac Mall, Indore
  13 | PFJJ  |  1023460 |   0.000km | ns=1.000 | PVR: Friends, Jalandhar                              <-> PVR Friends, Jalandhar
  14 | ACVM  |    10184 |   0.000km | ns=1.000 | AGS Cinemas: Villivakkam                             <-> AGS Cinemas, Villivakkam, Chennai
  15 | ACON  |    10185 |   0.000km | ns=1.000 | AGS Cinemas OMR: Navlur                              <-> AGS Cinemas OMR, Navlur, Chennai
  16 | CINL  |  1101080 |   0.000km | ns=1.000 | Grand Cinemaz: Saharanpur                            <-> Grand Cinemaz, Saharanpur
  17 | SCPF  |  1036569 |   0.000km | ns=1.000 | Suncity Cinemas: Priya Plaza Mall, Kashipur          <-> Suncity Cinemas, Priya Plaza Mall, Kashipur
  18 | NYCR  |    62919 |   0.000km | ns=1.000 | Devgn CineX (Formerly NY): Raebareli                 <-> Devgn CineX (Formerly NY) : Raebareli
  19 | NYCS  |    61949 |   0.000km | ns=1.000 | Devgn CineX (Formerly NY): Seven Sky, Bhuj           <-> Devgn CineX (Formerly NY)  : Seven sky, Bhuj
  20 | PVTP  |  1022285 |   0.000km | ns=1.000 | PVR: Preston, Gachibowli Hyderabad                   <-> PVR Preston, Gachibowli, Hyderabad
  21 | AGSM  |    10186 |   0.000km | ns=1.000 | AGS Cinemas: Maduravoyal                             <-> AGS Cinemas, Maduravoyal, Chennai
  22 | VCMG  |  1102199 |   0.001km | ns=1.000 | SVF Cinemas: Mogra                                   <-> SVF Cinemas : Mogra
  23 | PVHR  |  1022292 |   0.001km | ns=1.000 | PVR: Heritage RSL ECR, Chennai                       <-> PVR Heritage RSL, ECR, Chennai
  24 | PMAK  |  1019923 |   0.001km | ns=1.000 | PVR: Maruti Solaris, Anand                           <-> PVR Maruti Solaris, Maruti Solaris Mall, Anand
  25 | MBKR  |  1090946 |   0.001km | ns=1.000 | MB Cinema: Khariar Road                              <-> MB Cinema, Khariar Road
  26 | CECB  |  1041425 |   0.001km | ns=1.000 | Cineverse Cinema: Bardoli                            <-> Cineverse Cinema, Bardoli
  27 | MCPT  |  1019504 |   0.001km | ns=1.000 | Miraj Cinemas: United Penguin Mall, Sitapur          <-> Miraj Cinemas : United Penguin Mall, Sitapur
  28 | LEPV  |  1018524 |   0.001km | ns=1.000 | PVR: Le Reve-Globus Mall, Bandra West, Mumbai        <-> PVR Le Reve Globus Mall, Bandra West, Mumbai
  29 | MRGT  |    10249 |   0.001km | ns=1.000 | Miraj Cinemas: Geeta, Chandanagar                    <-> Miraj Cinemas : Geeta, Chandanagar
  30 | ROON  |  1041377 |   0.001km | ns=1.000 | Roopa Cinema 4K Dolby Atmos 3D A/C: Nelamangala      <-> Roopa Cinema 4K Dolby Atmos 3D A/C, Nelamangala, Bengal
  31 | SVFP  |  1102202 |   0.001km | ns=1.000 | SVF Cinemas: PRM Centre Point Mall, Malda            <-> SVF Cinemas : PRM Centre Point Mall, Malda
  32 | SCPT  |  1018960 |   0.001km | ns=1.000 | INOX: Patel Nagar                                    <-> INOX Patel Nagar, New Delhi
  33 | PCEL  |  1102047 |   0.001km | ns=1.000 | PVR: Cinemagic, Unity One Elegante, NSP, Pitampura   <-> PVR Cinemagic, Unity One Elegante, NSP, Pitampura
  34 | MCSR  |    24947 |   0.002km | ns=1.000 | Miraj Cinemas: GNG Mall, Saharanpur                  <-> Miraj Cinemas : GNG Mall, Saharanpur
  35 | SVNR  |  1102209 |   0.002km | ns=1.000 | SVF Cinemas: Wood Square Mall, Narendrapur           <-> SVF Cinemas : Wood Square Mall, Narendrapur
  36 | KAMP  |  1057799 |   0.002km | ns=1.000 | PVR: KA Mall, Jabalpur                               <-> PVR KA Mall, Jabalpur
  37 | PSMJ  |  1040594 |   0.002km | ns=1.000 | Movietime Cinemas: SKY Mall, Erragadda X Road        <-> Movietime Cinemas SKY Mall, Erragadda X Road, Hyderabad
  38 | PMOD  |  1040152 |   0.002km | ns=1.000 | PVR: Mall Of Dehradun                                <-> PVR Mall Of Dehradun
  39 | NICJ  |  1013969 |   0.002km | ns=1.000 | Nasrani Cinema: Jodhpur                              <-> Nasrani Cinema, Jodhpur
  40 | RCCA  |  1031255 |   0.002km | ns=1.000 | Rajhans Cinemas: The CBD Mall, Zundal Circle         <-> Rajhans Cinemas The CBD Mall, Zundal Circle, Ahmedabad
  41 | MDDC  |    20936 |   0.002km | ns=1.000 | Miraj Cinemas: Vikas Cinemall, Shahdara              <-> Miraj Cinemas : Vikas Cinemall, Shahdara
  42 | MRRC  |    10210 |   0.002km | ns=1.000 | Miraj Cinemas: I-Nok Mall, Raichur                   <-> Miraj Cinemas : I-Nok Mall, Raichur
  43 | PGFD  |  1022307 |   0.002km | ns=1.000 | PVR: Global Mall, Mysore Road, Bengaluru             <-> PVR Global Mall, Mysore Road, Bengaluru
  44 | MIDO  |     9609 |   0.002km | ns=1.000 | Miraj Cinemas: Dombivali (E)                         <-> Miraj Cinemas : Dombivali (E)
